round,avg_global_train_loss,avg_personalized_train_loss,avg_global_test_rmse,avg_personalized_test_rmse
1,7.178377834040505,5.871787804125174,1.64829,1.6343428
2,4.706714582805228,10.28343496885543,1.3290372,1.386795
3,3.379640403210947,2.844699205854729,1.1994584,1.2053938
4,2.740431123557079,1.6010262647939488,1.1425059,1.1433576
5,2.3768151015301515,1.1797505420942147,1.1155139,1.1151954
6,2.129747208268842,0.998622042100368,1.0997365,1.0997776
7,1.9441925488658207,0.8822738539761932,1.0895575,1.0892333
8,1.8034114587569825,0.7986811055752752,1.0808718,1.0806892
9,1.683608495085765,0.7330085105596165,1.0773425,1.0774568
10,1.5750215852890912,0.6809911002515325,1.0744754,1.074425
11,1.491946534168103,0.637744351994867,1.0735261,1.0736322
12,1.4206475021694458,0.6049699912693602,1.0720373,1.0716727
13,1.3512110252877876,0.5697368200518965,1.0711224,1.0711462
14,1.2912669876316936,0.5460144093595083,1.0693525,1.0693913
15,1.2340284920496738,0.5179872382079643,1.0703256,1.0706561
16,1.1863345471956241,0.4970278671783279,1.0697381,1.0695766
17,1.1431903029064547,0.4780361469065862,1.0698512,1.07002
18,1.1025450576667966,0.4619532497639744,1.0710232,1.0709692
19,1.0620306367876613,0.44520831495732927,1.0711862,1.0709822
20,1.0290151364065194,0.4333382600869221,1.0731779,1.073147
