lambda,client,rmse
0.0,0,1.4367731
0.0,1,1.3481547
0.0,2,1.0388734
0.0,3,1.405784
0.0,4,1.0962353
0.0,5,1.771014
0.0,6,1.9652176
0.0,7,1.0428691
0.0,8,1.1835272
0.0,9,1.3933393
0.01,0,1.0332371
0.01,1,0.96570545
0.01,2,0.9419633
0.01,3,1.0699127
0.01,4,0.9965756
0.01,5,1.1201364
0.01,6,0.9088215
0.01,7,0.94082326
0.01,8,1.002359
0.01,9,1.0030338
0.05,0,1.0611877
0.05,1,0.97157
0.05,2,0.9388222
0.05,3,1.0899401
0.05,4,0.991409
0.05,5,1.1343228
0.05,6,0.8935333
0.05,7,0.94615716
0.05,8,0.98485893
0.05,9,1.0040965
0.1,0,1.0626845
0.1,1,0.97743326
0.1,2,0.93761754
0.1,3,1.0903472
0.1,4,0.9895437
0.1,5,1.1527026
0.1,6,0.9445384
0.1,7,0.92932737
0.1,8,0.99454004
0.1,9,1.0056405
0.2,0,1.0668892
0.2,1,0.97611886
0.2,2,0.92902327
0.2,3,1.1003479
0.2,4,0.9824014
0.2,5,1.1666768
0.2,6,0.9930375
0.2,7,0.93196875
0.2,8,0.9968706
0.2,9,1.006072
0.5,0,1.0737873
0.5,1,0.9733291
0.5,2,0.93357235
0.5,3,1.1009859
0.5,4,0.9795251
0.5,5,1.1904209
0.5,6,1.1906859
0.5,7,0.93364584
0.5,8,0.9870933
0.5,9,1.009453
1.0,0,1.0718411
1.0,1,0.9768028
1.0,2,0.93561137
1.0,3,1.1003597
1.0,4,0.9839288
1.0,5,1.2108344
1.0,6,1.4473857
1.0,7,0.92912316
1.0,8,0.9830247
1.0,9,1.0108263
2.0,0,1.0731709
2.0,1,0.97448605
2.0,2,0.9417852
2.0,3,1.1040363
2.0,4,0.9867232
2.0,5,1.222051
2.0,6,1.697209
2.0,7,0.9282261
2.0,8,0.98271495
2.0,9,1.0080316
