lambda,client,rmse
0.0,0,1.4245089
0.0,1,1.3372052
0.0,2,1.0380476
0.0,3,1.405813
0.0,4,1.0829886
0.0,5,1.7865771
0.0,6,1.871343
0.0,7,1.0449831
0.0,8,1.1910423
0.0,9,1.4028289
0.01,0,1.0438663
0.01,1,0.9900138
0.01,2,0.9471568
0.01,3,1.0544176
0.01,4,0.9971107
0.01,5,1.1458645
0.01,6,0.90963256
0.01,7,0.9472044
0.01,8,1.0020896
0.01,9,1.0246173
0.05,0,1.0504762
0.05,1,0.9661484
0.05,2,0.94188344
0.05,3,1.0751958
0.05,4,0.99364895
0.05,5,1.1643156
0.05,6,0.90368885
0.05,7,0.94296247
0.05,8,1.002316
0.05,9,1.025569
0.1,0,1.0590537
0.1,1,0.9793896
0.1,2,0.9470583
0.1,3,1.079406
0.1,4,0.99416435
0.1,5,1.1940074
0.1,6,0.93738014
0.1,7,0.9356304
0.1,8,0.99842644
0.1,9,1.0206221
0.2,0,1.0549029
0.2,1,0.97685814
0.2,2,0.94203603
0.2,3,1.0832808
0.2,4,0.99649906
0.2,5,1.2002345
0.2,6,1.012132
0.2,7,0.93569326
0.2,8,1.0035158
0.2,9,1.0247662
0.5,0,1.0701978
0.5,1,0.9834388
0.5,2,0.9359629
0.5,3,1.0826485
0.5,4,0.99379534
0.5,5,1.1967186
0.5,6,1.1926912
0.5,7,0.93432313
0.5,8,0.99909264
0.5,9,1.0200412
1.0,0,1.0631821
1.0,1,0.9850011
1.0,2,0.93463564
1.0,3,1.0726031
1.0,4,0.9832327
1.0,5,1.1914059
1.0,6,1.3715258
1.0,7,0.9305473
1.0,8,0.9984669
1.0,9,1.0240012
2.0,0,1.0664798
2.0,1,0.9826937
2.0,2,0.9366128
2.0,3,1.0796475
2.0,4,0.98890704
2.0,5,1.245177
2.0,6,1.6772574
2.0,7,0.93118
2.0,8,0.9986115
2.0,9,1.0173361
