lambda,client,rmse
0.0,0,1.4605031
0.0,1,1.3429059
0.0,2,1.0492413
0.0,3,1.4097419
0.0,4,1.0919876
0.0,5,1.8011752
0.0,6,1.882804
0.0,7,1.0478117
0.0,8,1.1981478
0.0,9,1.4003673
0.01,0,1.0368894
0.01,1,0.96580535
0.01,2,0.94275355
0.01,3,1.0728481
0.01,4,0.99454355
0.01,5,1.1121255
0.01,6,0.9204015
0.01,7,0.94036114
0.01,8,1.0037606
0.01,9,1.0064416
0.05,0,1.059515
0.05,1,0.96282876
0.05,2,0.93903154
0.05,3,1.0846719
0.05,4,0.99850285
0.05,5,1.1518588
0.05,6,0.8928458
0.05,7,0.93772006
0.05,8,0.99368817
0.05,9,1.0017189
0.1,0,1.0587786
0.1,1,0.96318024
0.1,2,0.9354754
0.1,3,1.0987091
0.1,4,0.9953848
0.1,5,1.1549953
0.1,6,0.93818146
0.1,7,0.93517756
0.1,8,0.99387294
0.1,9,1.0115893
0.2,0,1.0665785
0.2,1,0.97498274
0.2,2,0.9325249
0.2,3,1.1006371
0.2,4,0.9842325
0.2,5,1.1797643
0.2,6,0.99512905
0.2,7,0.9384319
0.2,8,0.9864799
0.2,9,1.0087227
0.5,0,1.0688775
0.5,1,0.98069715
0.5,2,0.9300565
0.5,3,1.0987555
0.5,4,0.9845576
0.5,5,1.1934743
0.5,6,1.1981896
0.5,7,0.93230885
0.5,8,0.98965657
0.5,9,1.0095776
1.0,0,1.0760701
1.0,1,0.9807537
1.0,2,0.9341281
1.0,3,1.0998055
1.0,4,0.9895712
1.0,5,1.2305052
1.0,6,1.4501417
1.0,7,0.9391026
1.0,8,0.98773324
1.0,9,1.0131233
2.0,0,1.0705739
2.0,1,0.97323585
2.0,2,0.93701303
2.0,3,1.0982997
2.0,4,0.99408114
2.0,5,1.2353939
2.0,6,1.7578609
2.0,7,0.92957675
2.0,8,0.9859404
2.0,9,1.0154647
