round,avg_global_train_loss,avg_personalized_train_loss,avg_global_test_rmse,avg_personalized_test_rmse
1,4.579332374430079,43.09567222546993,1.4338541,1.435443
2,2.73827834177128,67.96693888066946,1.3036813,1.3120804
3,1.8068353914710666,33.91447493595858,1.198761,1.1883862
4,1.4647194399307228,29.76053878783994,1.174423,1.1647395
5,1.285829629053796,30.211136576820696,1.1598699,1.1469526
6,1.1822818620471514,31.151789601773395,1.1481959,1.136061
7,1.10528020676167,31.615000986523928,1.1561815,1.1378105
8,1.0630745493896028,31.77208784788262,1.1407802,1.1265084
9,1.0290490060928,32.39146465101949,1.1370133,1.1206539
10,1.0000414541608387,32.39173648393294,1.1335984,1.1171056
11,0.9849897364034099,32.519631803893084,1.1372936,1.1157048
12,0.9646580561534309,32.807527828107254,1.1347979,1.1163387
13,0.9556041394797867,32.935042139919844,1.1351999,1.1209648
14,0.9420018088554617,32.83408475014962,1.1337585,1.1229742
15,0.9288231018730405,33.07119434188875,1.1297896,1.11409
16,0.9207822305863587,32.903848922487114,1.1299264,1.1150627
17,0.9164243268164982,33.15967915915725,1.1266015,1.1135638
18,0.9100083101420848,33.50775608103296,1.1406873,1.1202347
19,0.9065345170555025,33.587559830634,1.1323785,1.1152217
20,0.9079968143229525,33.6813345843422,1.1283113,1.1121967
21,0.8977716750117958,33.5263451165829,1.1354265,1.1175836
22,0.8970481114508922,33.47301455557978,1.1321055,1.1122143
23,0.8965537912090855,33.138597952835816,1.12933,1.1143196
24,0.889016219521503,33.20476488765592,1.1272426,1.1163325
25,0.8878720378926308,33.39540147431934,1.1262556,1.1119297
26,0.8814098531890562,33.48557617303884,1.1249852,1.1124165
27,0.8863413411104982,33.35625120265107,1.1334102,1.1142893
28,0.8840538434441978,33.324621555107555,1.1359162,1.1194397
29,0.8824512316219776,33.400827627958954,1.1206214,1.1073761
30,0.878388644910725,33.5821494244404,1.1214321,1.1115364
