round,avg_train_loss,avg_test_rmse,min_test_rmse,max_test_rmse
1,8.691708761564886,2.0350165,1.0023152,3.5672116
2,6.736543911488586,1.7115676,0.9720463,3.2179966
3,5.209553366310214,1.5013635,0.949234,2.9301343
4,4.28036551169461,1.3770001,0.9377803,2.7144237
5,3.715977644582445,1.3064828,0.93336385,2.5695713
6,3.3579475364519418,1.2593185,0.9265301,2.471829
7,3.070326575733195,1.2265223,0.9231159,2.399005
8,2.860666262137838,1.2060643,0.921233,2.3491082
9,2.6838961424326873,1.185808,0.9188261,2.3026826
10,2.5298814832953087,1.1722872,0.9171168,2.2668862
11,2.3989592403771374,1.1594114,0.91694367,2.2318292
12,2.2847056936805132,1.1502008,0.91764885,2.203591
13,2.1823804891764587,1.1416332,0.9190061,2.168266
14,2.0836415364128325,1.1350504,0.9202546,2.1345282
15,2.0045106283237595,1.1290226,0.92212516,2.1110423
16,1.9243771539124697,1.1240137,0.9253182,2.0899994
17,1.8546493371695316,1.1205332,0.9288282,2.0711672
18,1.7938073694620098,1.1179837,0.9340169,2.0529869
19,1.7253766924505824,1.1151378,0.93909115,2.0284662
20,1.6766801758886936,1.1148643,0.9419464,2.0257978
